model,quantile,empirical_coverage,calibration_error,absolute_calibration_error
catboost_round1,0.01,0.0401826484,0.0301826484,0.0301826484
catboost_round1,0.02,0.0595890411,0.0395890411,0.0395890411
catboost_round1,0.03,0.07619863014,0.04619863014,0.04619863014
catboost_round1,0.04,0.08932648402,0.04932648402,0.04932648402
catboost_round1,0.05,0.1023401826,0.05234018265,0.05234018265
catboost_round1,0.06,0.1150684932,0.05506849315,0.05506849315
catboost_round1,0.07,0.1281392694,0.05813926941,0.05813926941
catboost_round1,0.08,0.1382990868,0.05829908676,0.05829908676
catboost_round1,0.09,0.1508561644,0.06085616438,0.06085616438
catboost_round1,0.1,0.1631849315,0.06318493151,0.06318493151
catboost_round1,0.11,0.1748287671,0.06482876712,0.06482876712
catboost_round1,0.12,0.1851027397,0.06510273973,0.06510273973
catboost_round1,0.13,0.1945205479,0.06452054795,0.06452054795
catboost_round1,0.14,0.2043378995,0.06433789954,0.06433789954
catboost_round1,0.15,0.2135844749,0.06358447489,0.06358447489
catboost_round1,0.16,0.2224885845,0.06248858447,0.06248858447
catboost_round1,0.17,0.2313356164,0.06133561644,0.06133561644
catboost_round1,0.18,0.2413242009,0.06132420091,0.06132420091
catboost_round1,0.19,0.2492579909,0.05925799087,0.05925799087
catboost_round1,0.2,0.258847032,0.05884703196,0.05884703196
catboost_round1,0.21,0.2682077626,0.05820776256,0.05820776256
catboost_round1,0.22,0.2768835616,0.05688356164,0.05688356164
catboost_round1,0.23,0.2862442922,0.05624429224,0.05624429224
catboost_round1,0.24,0.2950913242,0.0550913242,0.0550913242
catboost_round1,0.25,0.3049657534,0.05496575342,0.05496575342
catboost_round1,0.26,0.3140981735,0.05409817352,0.05409817352
catboost_round1,0.27,0.3212328767,0.05123287671,0.05123287671
catboost_round1,0.28,0.3296803653,0.0496803653,0.0496803653
catboost_round1,0.29,0.337043379,0.047043379,0.047043379
catboost_round1,0.3,0.3443493151,0.04434931507,0.04434931507
catboost_round1,0.31,0.3515981735,0.04159817352,0.04159817352
catboost_round1,0.32,0.3591324201,0.03913242009,0.03913242009
catboost_round1,0.33,0.3665525114,0.03655251142,0.03655251142
catboost_round1,0.34,0.374086758,0.03408675799,0.03408675799
catboost_round1,0.35,0.3821347032,0.0321347032,0.0321347032
catboost_round1,0.36,0.3894406393,0.02944063927,0.02944063927
catboost_round1,0.37,0.3957762557,0.02577625571,0.02577625571
catboost_round1,0.38,0.4035958904,0.02359589041,0.02359589041
catboost_round1,0.39,0.4101598174,0.02015981735,0.02015981735
catboost_round1,0.4,0.4155821918,0.01558219178,0.01558219178
catboost_round1,0.41,0.4226027397,0.01260273973,0.01260273973
catboost_round1,0.42,0.4299086758,0.009908675799,0.009908675799
catboost_round1,0.43,0.4365296804,0.006529680365,0.006529680365
catboost_round1,0.44,0.4438926941,0.003892694064,0.003892694064
